state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
MAHARASHTRA,413201,44%,30%,17%,9%,29%,35%,26%,11%,-15%,4%,9%,2%
TAMIL NADU,620007,57%,39%,1%,3%,42%,53%,1%,4%,-15%,14%,1%,1%
TAMIL NADU,641305,46%,52%,1%,1%,31%,58%,3%,8%,-15%,6%,2%,7%
TAMIL NADU,641009,47%,17%,2%,34%,32%,18%,2%,49%,-15%,1%,0%,14%
ANDHRA PRADESH,534456,50%,24%,25%,2%,34%,39%,22%,4%,-15%,16%,-2%,2%
KARNATAKA,581359,62%,32%,1%,5%,46%,46%,4%,4%,-15%,13%,3%,-1%
MADHYA PRADESH,483225,32%,58%,10%,1%,16%,67%,16%,1%,-15%,9%,6%,0%
KARNATAKA,583230,51%,12%,19%,18%,36%,33%,24%,7%,-15%,22%,5%,-12%
KARNATAKA,581349,76%,14%,6%,4%,61%,31%,3%,5%,-15%,17%,-3%,1%
MAHARASHTRA,412209,66%,20%,9%,4%,51%,34%,9%,6%,-15%,14%,-1%,2%
KARNATAKA,582209,68%,6%,25%,1%,53%,3%,43%,1%,-15%,-3%,18%,0%
WEST BENGAL,732140,19%,75%,1%,5%,3%,92%,1%,3%,-15%,17%,1%,-3%
TELANGANA,501218,34%,51%,14%,1%,19%,66%,15%,1%,-15%,15%,1%,0%
GUJARAT,383251,22%,48%,9%,22%,7%,33%,20%,40%,-15%,-14%,11%,18%
TAMIL NADU,637401,45%,45%,1%,9%,30%,64%,1%,5%,-15%,19%,0%,-3%
MAHARASHTRA,444204,58%,11%,16%,16%,43%,24%,24%,10%,-15%,13%,8%,-6%
KARNATAKA,585216,93%,5%,1%,0%,78%,21%,1%,1%,-15%,15%,-1%,0%
GUJARAT,365550,30%,25%,30%,15%,15%,55%,25%,5%,-15%,30%,-5%,-10%
UTTAR PRADESH,245201,78%,16%,5%,1%,63%,26%,5%,6%,-15%,10%,0%,5%
UTTAR PRADESH,230306,31%,54%,8%,8%,16%,42%,16%,26%,-15%,-12%,8%,19%
TELANGANA,506101,61%,23%,15%,0%,46%,30%,23%,0%,-15%,7%,8%,0%
MAHARASHTRA,415305,36%,18%,36%,9%,21%,21%,43%,14%,-15%,3%,6%,5%
TAMIL NADU,605602,38%,45%,2%,15%,23%,67%,2%,9%,-15%,22%,0%,-7%
KERALA,682504,19%,19%,50%,13%,4%,15%,55%,26%,-15%,-3%,5%,13%
KERALA,673314,32%,24%,13%,31%,17%,8%,71%,4%,-15%,-16%,58%,-27%
MAHARASHTRA,431113,21%,63%,5%,11%,6%,69%,6%,19%,-15%,6%,1%,8%
MAHARASHTRA,416601,72%,9%,13%,6%,57%,23%,6%,13%,-15%,14%,-7%,7%
HARYANA,132001,40%,5%,12%,43%,25%,0%,10%,65%,-15%,-5%,-3%,22%
UTTAR PRADESH,243304,24%,69%,2%,5%,9%,36%,30%,25%,-15%,-33%,28%,20%
MAHARASHTRA,421002,23%,31%,31%,15%,8%,58%,25%,8%,-15%,28%,-6%,-7%
GUJARAT,364330,16%,30%,35%,19%,2%,60%,38%,1%,-15%,30%,2%,-18%
UTTAR PRADESH,202137,22%,58%,11%,9%,7%,72%,13%,8%,-15%,14%,1%,-1%
ANDHRA PRADESH,516329,23%,74%,3%,1%,8%,89%,2%,1%,-15%,15%,-1%,0%
RAJASTHAN,325205,84%,4%,1%,11%,69%,0%,0%,30%,-15%,-4%,-1%,19%
KARNATAKA,577204,63%,32%,3%,2%,49%,48%,2%,2%,-15%,15%,-1%,0%
GUJARAT,370645,31%,19%,13%,38%,17%,25%,25%,33%,-15%,6%,13%,-4%
HIMACHAL PRADESH,176303,19%,69%,6%,6%,4%,88%,4%,4%,-15%,19%,-2%,-2%
MAHARASHTRA,443301,21%,42%,25%,12%,7%,65%,23%,5%,-15%,23%,-2%,-7%
GUJARAT,382426,25%,25%,17%,33%,11%,37%,11%,42%,-14%,12%,-6%,9%
GUJARAT,394720,26%,6%,26%,41%,12%,4%,24%,60%,-14%,-2%,-2%,19%
JAMMU AND KASHMIR,181143,44%,49%,4%,4%,29%,62%,6%,3%,-14%,13%,2%,-1%
TAMIL NADU,608602,51%,46%,1%,2%,37%,59%,4%,0%,-14%,13%,3%,-1%
TAMIL NADU,613009,24%,74%,1%,0%,10%,90%,0%,0%,-14%,15%,-1%,0%
ANDHRA PRADESH,518124,45%,38%,16%,0%,31%,52%,17%,0%,-14%,14%,1%,0%
TAMIL NADU,600068,35%,52%,11%,2%,20%,53%,17%,9%,-14%,1%,6%,7%
GOA,403708,31%,44%,11%,13%,17%,46%,31%,6%,-14%,2%,19%,-7%
GUJARAT,364280,21%,9%,42%,27%,7%,28%,28%,38%,-14%,18%,-15%,11%
WEST BENGAL,743245,21%,63%,6%,10%,7%,37%,0%,56%,-14%,-26%,-6%,46%
TELANGANA,506011,67%,25%,8%,0%,53%,38%,9%,0%,-14%,14%,1%,0%
TAMIL NADU,639107,20%,73%,3%,3%,6%,83%,9%,3%,-14%,10%,5%,0%
TAMIL NADU,629159,29%,46%,7%,18%,14%,48%,10%,29%,-14%,1%,2%,11%
KERALA,676312,16%,7%,32%,45%,2%,1%,97%,1%,-14%,-7%,65%,-44%
KERALA,680511,25%,21%,36%,18%,11%,39%,9%,41%,-14%,18%,-27%,23%
TAMIL NADU,625582,26%,59%,13%,3%,11%,74%,11%,3%,-14%,15%,-1%,0%
UTTAR PRADESH,281301,44%,26%,24%,6%,30%,52%,10%,7%,-14%,26%,-13%,1%
KERALA,673585,41%,14%,14%,31%,27%,11%,8%,54%,-14%,-3%,-6%,23%
KERALA,680671,15%,42%,21%,23%,1%,20%,13%,65%,-14%,-21%,-7%,43%
KERALA,678502,20%,56%,22%,2%,6%,49%,41%,5%,-14%,-7%,19%,3%
GUJARAT,396185,23%,27%,14%,36%,9%,20%,20%,50%,-14%,-7%,7%,15%
KERALA,688564,23%,20%,40%,17%,9%,54%,25%,12%,-14%,34%,-15%,-5%
MAHARASHTRA,415515,36%,36%,9%,18%,22%,44%,11%,22%,-14%,8%,2%,4%
KARNATAKA,574164,44%,50%,2%,4%,30%,59%,4%,7%,-14%,9%,2%,3%
MAHARASHTRA,423502,20%,43%,33%,4%,6%,48%,36%,9%,-14%,6%,3%,6%
TAMIL NADU,603002,37%,57%,1%,6%,23%,72%,2%,3%,-14%,16%,1%,-3%
TAMIL NADU,643004,24%,65%,2%,9%,10%,71%,4%,14%,-14%,7%,2%,5%
TAMIL NADU,621601,28%,67%,2%,3%,14%,78%,3%,5%,-14%,11%,1%,2%
GUJARAT,391775,46%,35%,8%,11%,32%,39%,12%,18%,-14%,3%,4%,6%
UTTAR PRADESH,247453,24%,71%,3%,3%,10%,77%,3%,10%,-14%,6%,1%,7%
KERALA,670679,17%,28%,33%,22%,3%,41%,41%,16%,-14%,13%,7%,-6%
WEST BENGAL,743405,36%,54%,8%,2%,22%,53%,7%,18%,-14%,-1%,-1%,16%
UTTAR PRADESH,228151,20%,71%,6%,3%,6%,86%,5%,3%,-14%,16%,-2%,0%
KARNATAKA,571430,56%,34%,9%,2%,42%,46%,11%,1%,-14%,13%,2%,-1%
KARNATAKA,591310,40%,30%,10%,20%,26%,52%,11%,11%,-14%,22%,1%,-9%
GUJARAT,382023,21%,42%,21%,16%,7%,43%,29%,21%,-14%,1%,8%,6%
UTTAR PRADESH,202127,19%,49%,4%,28%,5%,84%,5%,5%,-14%,35%,2%,-23%
MAHARASHTRA,414204,25%,44%,28%,3%,11%,56%,19%,15%,-14%,11%,-9%,12%
MAHARASHTRA,421305,23%,45%,16%,16%,9%,74%,9%,9%,-14%,29%,-7%,-7%
BIHAR,845401,27%,47%,26%,0%,13%,56%,30%,0%,-14%,10%,4%,0%
MAHARASHTRA,415608,31%,19%,38%,13%,17%,17%,17%,48%,-14%,-1%,-20%,35%
GUJARAT,387320,20%,26%,13%,41%,6%,31%,11%,51%,-14%,5%,-2%,10%
TAMIL NADU,638056,48%,49%,0%,2%,35%,56%,5%,4%,-14%,7%,5%,2%
DAMAN AND DIU,396191,46%,41%,6%,7%,32%,17%,1%,50%,-14%,-24%,-5%,42%
KERALA,695588,19%,56%,19%,7%,5%,76%,14%,5%,-14%,21%,-4%,-3%
GUJARAT,384272,20%,40%,7%,33%,6%,44%,19%,31%,-14%,4%,12%,-2%
BIHAR,853202,30%,62%,3%,5%,16%,60%,12%,12%,-14%,-2%,9%,7%
UTTAR PRADESH,206126,38%,44%,10%,8%,24%,43%,29%,4%,-14%,-1%,19%,-4%
KERALA,695310,20%,27%,51%,2%,7%,51%,40%,1%,-14%,25%,-10%,-1%
MAHARASHTRA,413212,21%,60%,18%,1%,8%,84%,7%,1%,-14%,24%,-11%,1%
KERALA,680641,17%,32%,47%,4%,3%,47%,7%,43%,-14%,15%,-40%,38%
TAMIL NADU,625018,50%,41%,4%,5%,36%,46%,6%,12%,-14%,4%,2%,7%
JAMMU AND KASHMIR,181122,51%,43%,4%,1%,38%,57%,4%,1%,-14%,14%,1%,-1%
MAHARASHTRA,410218,32%,63%,1%,4%,18%,76%,1%,5%,-14%,13%,0%,1%
TAMIL NADU,604202,27%,63%,6%,3%,14%,75%,10%,2%,-14%,12%,3%,-2%
GUJARAT,365645,41%,2%,48%,9%,28%,39%,28%,6%,-14%,37%,-20%,-3%
GOA,403513,17%,47%,27%,10%,3%,37%,14%,46%,-14%,-10%,-12%,36%
TAMIL NADU,621711,37%,44%,7%,11%,24%,68%,3%,6%,-14%,23%,-4%,-5%
UTTAR PRADESH,221507,15%,77%,7%,2%,1%,76%,6%,16%,-14%,-1%,-1%,15%
KERALA,689502,16%,43%,34%,7%,2%,68%,22%,7%,-13%,25%,-12%,0%
TAMIL NADU,642203,23%,67%,6%,3%,10%,64%,20%,6%,-13%,-3%,14%,3%
GUJARAT,365541,16%,2%,32%,50%,3%,9%,38%,51%,-13%,7%,6%,1%
KARNATAKA,572224,40%,55%,2%,2%,27%,63%,8%,2%,-13%,8%,6%,0%
RAJASTHAN,328024,33%,29%,19%,19%,20%,27%,27%,27%,-13%,-2%,8%,8%
ANDHRA PRADESH,520007,51%,45%,4%,0%,37%,57%,4%,1%,-13%,12%,0%,1%
GUJARAT,360020,16%,33%,40%,11%,3%,16%,12%,70%,-13%,-17%,-28%,59%
TAMIL NADU,625534,43%,43%,10%,5%,29%,56%,6%,8%,-13%,14%,-4%,3%
MAHARASHTRA,413109,38%,35%,23%,4%,25%,60%,9%,6%,-13%,25%,-14%,2%
WEST BENGAL,700053,36%,35%,1%,27%,23%,40%,1%,35%,-13%,6%,0%,8%
JAMMU AND KASHMIR,181201,57%,32%,9%,2%,44%,42%,13%,1%,-13%,10%,4%,-1%
TAMIL NADU,636006,41%,40%,6%,13%,28%,61%,10%,1%,-13%,21%,4%,-11%
TAMIL NADU,601201,31%,63%,4%,2%,18%,73%,6%,2%,-13%,10%,2%,0%
ANDHRA PRADESH,534312,39%,36%,24%,2%,26%,40%,33%,1%,-13%,5%,10%,-1%
MAHARASHTRA,441906,20%,38%,26%,16%,7%,28%,58%,7%,-13%,-9%,32%,-10%
UTTAR PRADESH,245205,62%,28%,9%,1%,49%,42%,6%,3%,-13%,14%,-3%,1%
WEST BENGAL,735101,27%,59%,1%,13%,14%,80%,0%,6%,-13%,21%,-1%,-7%
WEST BENGAL,743503,22%,71%,2%,5%,9%,62%,3%,26%,-13%,-9%,1%,22%
KARNATAKA,581403,39%,53%,2%,6%,26%,65%,5%,5%,-13%,12%,2%,-1%
PUNJAB,145023,74%,8%,11%,8%,61%,4%,9%,26%,-13%,-4%,-1%,18%
TAMIL NADU,600066,40%,44%,7%,10%,27%,63%,6%,4%,-13%,19%,0%,-6%
UTTAR PRADESH,209303,17%,77%,2%,4%,4%,78%,9%,9%,-13%,0%,7%,5%
TAMIL NADU,637301,31%,63%,2%,4%,18%,77%,2%,3%,-13%,14%,0%,-2%
JAMMU AND KASHMIR,184101,22%,75%,2%,2%,9%,87%,2%,2%,-13%,13%,0%,0%
ANDHRA PRADESH,521108,30%,66%,4%,0%,17%,79%,4%,0%,-13%,13%,0%,0%
WEST BENGAL,743427,21%,69%,1%,9%,8%,79%,1%,13%,-13%,11%,-1%,3%
MAHARASHTRA,416702,28%,59%,9%,3%,15%,56%,16%,13%,-13%,-4%,7%,9%
MAHARASHTRA,444901,27%,45%,14%,14%,14%,50%,29%,7%,-13%,5%,15%,-6%
TAMIL NADU,631604,46%,31%,12%,10%,33%,36%,9%,21%,-13%,5%,-3%,11%
TAMIL NADU,607005,32%,11%,53%,5%,19%,68%,12%,2%,-13%,57%,-41%,-4%
MAHARASHTRA,441912,15%,61%,20%,4%,2%,38%,57%,2%,-13%,-23%,37%,-2%
TAMIL NADU,632009,43%,48%,4%,5%,30%,66%,3%,1%,-13%,18%,-1%,-4%
KERALA,695141,25%,26%,30%,19%,12%,45%,17%,26%,-13%,19%,-13%,7%
MADHYA PRADESH,450991,19%,63%,13%,6%,6%,85%,3%,6%,-13%,23%,-10%,0%
TAMIL NADU,627103,49%,40%,8%,3%,36%,31%,31%,1%,-13%,-9%,23%,-1%
TAMIL NADU,602109,20%,53%,7%,20%,7%,64%,7%,21%,-13%,11%,0%,1%
UTTAR PRADESH,221505,25%,66%,6%,3%,12%,70%,5%,12%,-13%,5%,-1%,9%
UTTAR PRADESH,244302,37%,54%,8%,1%,24%,67%,8%,1%,-13%,13%,0%,0%
KARNATAKA,562112,30%,61%,1%,9%,17%,79%,1%,3%,-13%,17%,1%,-5%
GOA,403704,39%,22%,6%,33%,26%,9%,4%,61%,-13%,-14%,-1%,28%
KARNATAKA,577522,52%,46%,1%,0%,39%,59%,1%,1%,-13%,13%,0%,0%
MAHARASHTRA,410204,23%,27%,32%,18%,10%,40%,20%,30%,-13%,13%,-12%,12%
KARNATAKA,574224,67%,21%,7%,6%,54%,43%,3%,1%,-13%,22%,-4%,-5%
RAJASTHAN,302022,59%,7%,13%,22%,46%,6%,26%,22%,-13%,-1%,13%,0%
MAHARASHTRA,442102,18%,55%,18%,8%,6%,69%,20%,6%,-13%,13%,2%,-2%
KERALA,671351,13%,26%,57%,3%,0%,3%,96%,0%,-13%,-23%,39%,-3%
GUJARAT,387620,21%,66%,5%,8%,9%,85%,3%,4%,-13%,18%,-2%,-4%
KARNATAKA,580029,29%,61%,4%,6%,17%,76%,4%,3%,-13%,16%,0%,-3%
WEST BENGAL,743234,18%,71%,3%,8%,6%,90%,1%,3%,-13%,19%,-1%,-5%
RAJASTHAN,301404,82%,1%,8%,10%,69%,2%,15%,13%,-13%,1%,8%,4%
GUJARAT,396195,36%,35%,8%,21%,24%,21%,5%,51%,-13%,-14%,-3%,29%
KERALA,691333,19%,73%,5%,3%,6%,50%,5%,39%,-13%,-23%,0%,36%
UTTAR PRADESH,274203,14%,65%,3%,18%,1%,73%,4%,21%,-13%,8%,1%,3%
KARNATAKA,575009,32%,63%,4%,1%,20%,76%,3%,1%,-13%,13%,-1%,1%
ASSAM,781024,28%,33%,8%,30%,16%,37%,13%,34%,-13%,4%,5%,4%
KARNATAKA,585228,41%,53%,2%,5%,28%,47%,9%,17%,-13%,-7%,7%,12%
MAHARASHTRA,425101,25%,13%,25%,38%,13%,50%,13%,25%,-13%,38%,-13%,-13%
WEST BENGAL,742403,25%,52%,5%,18%,13%,68%,12%,8%,-13%,16%,7%,-10%
KARNATAKA,586103,46%,45%,4%,5%,34%,61%,2%,4%,-12%,16%,-2%,-1%
TAMIL NADU,627859,32%,44%,23%,2%,19%,76%,3%,2%,-12%,32%,-20%,0%
BIHAR,851204,28%,67%,3%,2%,16%,80%,2%,2%,-12%,13%,-1%,0%
MAHARASHTRA,416505,16%,54%,15%,15%,4%,68%,5%,23%,-12%,14%,-10%,8%
UTTAR PRADESH,275301,18%,69%,7%,5%,6%,67%,19%,8%,-12%,-2%,12%,2%
WEST BENGAL,700081,21%,53%,10%,15%,9%,59%,8%,24%,-12%,6%,-2%,9%
TELANGANA,504208,29%,64%,6%,0%,17%,78%,5%,0%,-12%,14%,-2%,0%
GUJARAT,382011,21%,18%,24%,36%,9%,26%,18%,47%,-12%,8%,-7%,11%
ANDHRA PRADESH,516310,18%,75%,4%,3%,6%,81%,11%,2%,-12%,7%,7%,-1%
UTTAR PRADESH,202396,16%,53%,20%,11%,3%,52%,39%,6%,-12%,-2%,19%,-5%
TAMIL NADU,637018,23%,67%,2%,8%,11%,80%,2%,6%,-12%,13%,1%,-1%
UTTAR PRADESH,212622,17%,78%,2%,2%,5%,87%,6%,2%,-12%,9%,4%,0%
MAHARASHTRA,431716,33%,17%,42%,8%,21%,47%,5%,26%,-12%,31%,-36%,18%
MAHARASHTRA,431208,22%,43%,30%,4%,10%,57%,19%,14%,-12%,14%,-11%,10%
WEST BENGAL,712149,39%,40%,6%,15%,27%,46%,3%,25%,-12%,6%,-3%,10%
UTTAR PRADESH,210121,18%,45%,2%,35%,5%,11%,0%,83%,-12%,-34%,-1%,47%
MAHARASHTRA,414302,18%,18%,53%,11%,6%,48%,38%,8%,-12%,29%,-15%,-2%
HARYANA,123401,50%,3%,20%,27%,38%,1%,33%,28%,-12%,-2%,13%,1%
MEGHALAYA,793001,24%,3%,15%,58%,12%,5%,12%,70%,-12%,3%,-3%,12%
KARNATAKA,570025,50%,43%,4%,4%,38%,51%,5%,5%,-12%,8%,2%,2%
CHANDIGARH,160036,63%,0%,7%,30%,51%,0%,2%,47%,-12%,0%,-5%,17%
KARNATAKA,580023,54%,41%,2%,3%,42%,53%,1%,4%,-12%,12%,-1%,1%
TAMIL NADU,641687,50%,45%,3%,1%,38%,52%,7%,2%,-12%,7%,4%,1%
PUNJAB,140507,60%,28%,4%,9%,47%,45%,3%,5%,-12%,17%,-1%,-4%
UTTAR PRADESH,202389,15%,71%,5%,9%,2%,78%,5%,15%,-12%,7%,-1%,6%
UTTAR PRADESH,212664,18%,77%,1%,4%,5%,87%,1%,7%,-12%,10%,0%,2%
KARNATAKA,585330,34%,54%,10%,3%,22%,68%,8%,1%,-12%,15%,-2%,-1%
MADHYA PRADESH,487118,18%,71%,9%,1%,6%,83%,10%,1%,-12%,11%,1%,0%
JAMMU AND KASHMIR,190009,31%,51%,16%,2%,19%,66%,8%,6%,-12%,16%,-8%,4%
JAMMU AND KASHMIR,181102,45%,44%,10%,2%,33%,52%,12%,3%,-12%,8%,3%,1%
KERALA,673021,31%,35%,15%,19%,19%,44%,19%,19%,-12%,9%,3%,0%
HARYANA,134101,59%,6%,22%,13%,47%,8%,24%,21%,-12%,2%,2%,9%
MAHARASHTRA,443304,40%,20%,35%,5%,28%,20%,48%,4%,-12%,0%,13%,-1%
RAJASTHAN,341508,45%,0%,9%,45%,33%,0%,5%,61%,-12%,0%,-4%,17%
TAMIL NADU,641028,68%,26%,1%,5%,56%,31%,2%,12%,-12%,5%,1%,7%
PUNJAB,141010,51%,0%,24%,25%,39%,0%,44%,17%,-12%,0%,20%,-8%
KERALA,683573,19%,39%,34%,8%,7%,44%,35%,14%,-12%,6%,1%,6%
KARNATAKA,587314,44%,45%,2%,8%,32%,59%,5%,4%,-12%,14%,2%,-4%
WEST BENGAL,713141,22%,66%,1%,11%,10%,69%,1%,20%,-12%,3%,0%,9%
ASSAM,786008,29%,54%,4%,13%,17%,62%,3%,17%,-12%,8%,-1%,5%
KARNATAKA,575004,61%,35%,4%,0%,49%,45%,4%,2%,-12%,10%,0%,1%
MAHARASHTRA,421103,22%,42%,7%,29%,10%,55%,3%,31%,-12%,13%,-3%,2%
MAHARASHTRA,431802,23%,50%,20%,8%,11%,58%,20%,10%,-12%,9%,0%,3%
GUJARAT,396007,16%,66%,9%,9%,4%,15%,2%,79%,-12%,-52%,-7%,71%
KERALA,680509,17%,11%,39%,33%,5%,18%,37%,39%,-12%,8%,-2%,6%
UTTAR PRADESH,281204,31%,57%,5%,7%,20%,48%,18%,15%,-12%,-9%,12%,8%
MAHARASHTRA,442202,26%,48%,9%,17%,14%,50%,7%,29%,-12%,2%,-2%,11%
MAHARASHTRA,421601,35%,38%,15%,13%,23%,39%,15%,23%,-12%,2%,1%,9%
KARNATAKA,576117,59%,38%,2%,1%,48%,50%,2%,1%,-12%,12%,0%,0%
GUJARAT,396424,24%,41%,29%,6%,12%,71%,6%,12%,-12%,29%,-24%,6%
ANDHRA PRADESH,522647,26%,64%,6%,3%,15%,80%,5%,0%,-12%,16%,-1%,-3%
BIHAR,811313,53%,14%,29%,4%,41%,43%,13%,2%,-12%,29%,-16%,-2%
WEST BENGAL,723202,17%,79%,0%,3%,5%,93%,1%,1%,-12%,14%,0%,-3%
MADHYA PRADESH,454446,79%,18%,3%,0%,67%,29%,4%,0%,-12%,11%,1%,0%
HARYANA,132103,25%,12%,7%,57%,13%,0%,5%,81%,-12%,-12%,-1%,25%
MEGHALAYA,793003,18%,3%,45%,34%,7%,1%,24%,68%,-12%,-2%,-20%,34%
GUJARAT,396155,48%,15%,15%,22%,36%,28%,7%,29%,-12%,13%,-8%,7%
GUJARAT,383120,16%,67%,11%,6%,4%,48%,31%,17%,-12%,-19%,20%,11%
HARYANA,133302,69%,8%,11%,13%,58%,6%,14%,22%,-12%,-2%,4%,10%
KARNATAKA,582116,36%,43%,13%,7%,24%,58%,7%,11%,-12%,14%,-6%,4%
GUJARAT,388710,23%,23%,36%,18%,11%,33%,33%,22%,-12%,11%,-3%,4%
TAMIL NADU,641012,37%,24%,1%,38%,25%,15%,1%,59%,-12%,-9%,0%,21%
GUJARAT,382428,23%,27%,17%,33%,12%,41%,15%,32%,-12%,15%,-2%,-1%
GUJARAT,383250,30%,30%,14%,27%,18%,42%,18%,21%,-12%,13%,5%,-6%
KERALA,676554,13%,33%,40%,15%,1%,28%,10%,62%,-12%,-5%,-30%,47%
RAJASTHAN,343048,62%,8%,8%,23%,50%,7%,7%,36%,-12%,-1%,-1%,13%
KERALA,670591,28%,45%,25%,3%,16%,56%,24%,4%,-12%,11%,-1%,2%
KERALA,682502,19%,63%,16%,2%,7%,50%,29%,14%,-11%,-13%,12%,12%
GUJARAT,393135,24%,47%,21%,8%,12%,49%,12%,27%,-11%,2%,-9%,19%
KARNATAKA,583203,29%,62%,5%,5%,17%,69%,3%,11%,-11%,7%,-2%,6%
DELHI,110066,40%,43%,2%,16%,28%,44%,3%,25%,-11%,1%,1%,9%
WEST BENGAL,721305,26%,63%,6%,5%,15%,82%,0%,3%,-11%,19%,-6%,-2%
KERALA,691573,19%,50%,22%,9%,8%,48%,30%,15%,-11%,-3%,8%,6%
KERALA,682036,20%,50%,15%,14%,9%,54%,20%,17%,-11%,4%,5%,3%
TAMIL NADU,632104,25%,67%,2%,7%,13%,71%,7%,9%,-11%,4%,5%,2%
GUJARAT,394325,36%,18%,11%,34%,25%,34%,16%,26%,-11%,15%,4%,-8%
PUNJAB,160059,64%,7%,11%,18%,52%,9%,22%,17%,-11%,2%,11%,-1%
MAHARASHTRA,416119,17%,48%,28%,7%,6%,42%,33%,18%,-11%,-6%,6%,11%
MAHARASHTRA,441206,28%,36%,9%,27%,17%,70%,10%,4%,-11%,34%,1%,-23%
GUJARAT,396530,28%,28%,11%,33%,17%,42%,17%,25%,-11%,14%,6%,-8%
GUJARAT,425418,17%,63%,6%,15%,6%,76%,7%,11%,-11%,13%,2%,-4%
KERALA,683549,17%,56%,17%,11%,6%,44%,33%,17%,-11%,-11%,17%,6%
MAHARASHTRA,421001,17%,54%,11%,18%,6%,21%,70%,3%,-11%,-33%,59%,-15%
MAHARASHTRA,411047,26%,43%,17%,13%,15%,70%,10%,5%,-11%,27%,-7%,-8%
TAMIL NADU,604001,30%,60%,8%,2%,19%,76%,2%,3%,-11%,16%,-6%,1%
TAMIL NADU,603304,32%,54%,5%,10%,21%,62%,7%,10%,-11%,8%,2%,1%
TAMIL NADU,631601,39%,41%,4%,16%,28%,47%,16%,9%,-11%,7%,12%,-7%
UTTAR PRADESH,246726,28%,63%,2%,7%,17%,68%,3%,12%,-11%,5%,1%,5%
MAHARASHTRA,415102,20%,44%,34%,2%,9%,42%,47%,2%,-11%,-2%,13%,0%
KERALA,680516,20%,60%,15%,5%,9%,55%,27%,9%,-11%,-5%,12%,4%
KARNATAKA,582119,52%,10%,34%,3%,41%,6%,49%,4%,-11%,-4%,14%,1%
MAHARASHTRA,413705,29%,45%,25%,1%,18%,59%,21%,3%,-11%,14%,-5%,1%
ODISHA,752002,42%,21%,21%,17%,31%,31%,8%,31%,-11%,10%,-13%,14%
KERALA,695502,33%,44%,13%,10%,22%,57%,15%,6%,-11%,13%,3%,-4%
TAMIL NADU,631203,29%,64%,5%,3%,18%,77%,2%,4%,-11%,13%,-4%,1%
MAHARASHTRA,424102,30%,63%,4%,4%,19%,44%,6%,31%,-11%,-19%,3%,28%
KARNATAKA,587125,24%,74%,0%,1%,13%,82%,4%,1%,-11%,8%,3%,0%
BIHAR,841426,46%,51%,2%,1%,35%,59%,5%,1%,-11%,7%,3%,1%
UTTAR PRADESH,251310,23%,69%,3%,6%,12%,76%,8%,4%,-11%,7%,5%,-2%
GUJARAT,385130,44%,42%,5%,9%,33%,56%,2%,9%,-11%,14%,-2%,0%
ANDHRA PRADESH,517640,53%,41%,6%,0%,43%,49%,8%,0%,-11%,8%,2%,0%
KARNATAKA,575028,45%,53%,1%,1%,34%,63%,3%,1%,-11%,10%,1%,-1%
UTTAR PRADESH,243006,20%,53%,10%,17%,9%,51%,24%,16%,-11%,-2%,14%,-1%
KERALA,673024,22%,50%,9%,19%,11%,44%,33%,11%,-11%,-6%,24%,-8%
UTTAR PRADESH,262804,13%,77%,2%,7%,2%,95%,1%,3%,-11%,17%,-2%,-5%
HARYANA,127032,33%,3%,40%,23%,23%,6%,39%,32%,-11%,3%,-1%,9%
BIHAR,841217,38%,10%,51%,0%,27%,9%,64%,0%,-11%,-2%,13%,0%
TAMIL NADU,627501,59%,21%,18%,3%,48%,25%,22%,5%,-11%,5%,4%,2%
ANDHRA PRADESH,517102,16%,76%,7%,1%,5%,93%,1%,0%,-11%,17%,-5%,-1%
TAMIL NADU,607308,39%,56%,5%,0%,28%,60%,10%,3%,-11%,4%,4%,2%
MAHARASHTRA,422209,20%,35%,25%,19%,10%,31%,35%,25%,-11%,-4%,9%,6%
UTTAR PRADESH,273202,15%,56%,13%,15%,5%,79%,8%,8%,-11%,22%,-4%,-7%
PUDUCHERRY,605003,26%,32%,41%,2%,15%,56%,28%,1%,-11%,24%,-13%,0%
KARNATAKA,591221,49%,42%,7%,2%,38%,27%,31%,4%,-11%,-15%,24%,1%
KARNATAKA,587116,84%,13%,2%,0%,73%,26%,1%,0%,-11%,13%,-2%,0%
UTTAR PRADESH,209724,29%,56%,3%,11%,18%,72%,4%,5%,-11%,16%,1%,-6%
GUJARAT,391244,39%,35%,10%,16%,28%,19%,38%,16%,-11%,-17%,28%,-1%
TAMIL NADU,636809,33%,62%,2%,3%,22%,73%,2%,3%,-11%,11%,-1%,0%
ANDHRA PRADESH,522003,30%,48%,22%,0%,20%,58%,21%,1%,-11%,10%,0%,0%
BIHAR,841316,18%,59%,18%,6%,7%,71%,14%,7%,-11%,13%,-3%,1%
KARNATAKA,590006,40%,51%,7%,3%,29%,66%,2%,3%,-11%,15%,-5%,0%
KERALA,682023,16%,56%,19%,9%,5%,64%,21%,10%,-10%,8%,2%,1%
TAMIL NADU,635110,38%,60%,1%,2%,27%,70%,1%,2%,-10%,10%,0%,0%
DAMAN AND DIU,396220,20%,12%,48%,20%,10%,38%,33%,19%,-10%,26%,-15%,-1%
MAHARASHTRA,410501,26%,41%,26%,7%,16%,53%,20%,10%,-10%,13%,-6%,3%
